Vaisala Hum,SGS Temp,SGS RAW
45.4,25.3,56549
45.3,25.2,56550
45.3,25.2,56550
45.2,25.3,56549
45.2,25.3,56549
45.2,25.4,56548
45.2,25.3,56549
45.1,25.3,56549
45.1,25.3,56548
45.1,25.3,56547
45,25.3,56546
44.9,25.2,56547
44.9,25.2,56546
44.9,25.3,56544
44.8,25.3,56544
44.7,25.3,56544
44.7,25.2,56543
44.6,25.3,56543
44.5,25.3,56543
44.5,25.3,56543
44.5,25.3,56543
44.5,25.2,56543
44.4,25.3,56543
44.3,25.2,56543
44.3,25.3,56543
44.3,25.3,56543
44.2,25.3,56543
44.2,25.3,56543
44.2,25.2,56543
44.2,25.2,56543
44.1,25.2,56543
44.1,25.2,56543
44.1,25.3,56543
44.1,25.3,56543
44.1,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.3,56543
44,25.2,56543
44,25.2,56543
44,25.2,56543
44,25.2,56543
44,25.2,56543
44,25.2,56543
44,25.2,56543
44,25.3,56543
44,25.2,56543
44,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.2,56543
43.9,25.3,56543
43.9,25.4,56543
43.9,25.4,56543
43.9,25.3,56543
43.9,25.2,56543
43.9,25.3,56543
43.9,25.3,56543
43.9,25.3,56543
43.9,25.2,56543
43.9,25.3,56542
43.8,25.2,56543
43.8,25.2,56541
43.8,25.2,56541
43.8,25.3,56539
43.8,25.3,56540
43.8,25.3,56542
43.7,25.3,56542
43.7,25.2,56543
43.7,25.2,56543
43.7,25.2,56543
